station_name,station_id,capacity,mechanical_bikes,electric_bikes,total_bikes_available,available_docks,latitude,longitude,commune_code,commune_name,is_installed,is_renting,is_returning,updated_at
Benjamin Godard - Victor Hugo,16107,35,2,4,6,29,48.865983,2.275725,75056,Paris,True,True,True,2026-03-12T15:33:41+00:00
Toudouze - Clauzel,9020,21,0,3,3,17,48.87929591733507,2.3373600840568547,75056,Paris,True,True,True,2026-03-12T15:35:36+00:00
Basilique,32017,22,0,3,3,18,48.93626891059109,2.3588666820200914,93066,Saint-Denis,True,True,True,2026-03-12T15:30:44+00:00
Charonne - Robert et Sonia Delaunay,11104,20,1,2,3,17,48.855907555969,2.3925706744194,75056,Paris,True,True,True,2026-03-12T15:34:39+00:00
Messine - Place Du Pérou,8026,12,7,0,7,3,48.875448033960744,2.315508019010038,75056,Paris,True,True,True,2026-03-12T15:37:38+00:00
Saint-Sulpice,6003,21,10,6,16,4,48.85165383178419,2.3308077827095985,75056,Paris,True,True,True,2026-03-12T15:36:18+00:00
Vaneau - Sèvres,7002,35,12,1,13,19,48.848563233059,2.3204218259346,75056,Paris,True,True,True,2026-03-12T15:36:03+00:00
Saint-Romain - Cherche-Midi,6108,17,6,0,6,10,48.84708159081946,2.321374788880348,75056,Paris,True,True,True,2026-03-12T15:34:05+00:00
André Karman - République,33006,31,4,4,8,22,48.91039875761846,2.3851355910301213,93001,Aubervilliers,True,True,True,2026-03-12T15:33:37+00:00
Place Nelson Mandela,25006,22,1,2,3,19,48.862453313908,2.1961666225454,92063,Rueil-Malmaison,True,True,True,2026-03-12T15:35:16+00:00
Bas du Mont-Mesly,40011,27,3,1,4,22,48.779751,2.460837,94028,Créteil,True,True,True,2026-03-12T15:37:39+00:00
Froment - Bréguet,11025,43,38,1,39,3,48.8570414504784,2.37289470306807,75056,Paris,True,True,True,2026-03-12T15:33:50+00:00
Beaux-Arts - Bonaparte,6021,20,12,2,14,3,48.856451985396,2.3348518833518,75056,Paris,True,True,True,2026-03-12T15:36:51+00:00
Silly - Galliéni,21010,25,7,2,9,15,48.835583838706,2.2325500845909,92012,Boulogne-Billancourt,True,True,True,2026-03-12T15:33:24+00:00
Croulebarde - Corvisart,13101,34,12,2,14,20,48.830981659316855,2.3481646925210953,75056,Paris,True,True,True,2026-03-12T15:37:33+00:00
Le Brix et Mesmin - Jourdan,14108,21,1,0,1,19,48.82234096593411,2.327861653302471,75056,Paris,True,True,True,2026-03-12T15:34:40+00:00
Romainville - Vaillant-Couturier,31024,38,0,1,1,36,48.86785,2.446748,93048,Montreuil,True,True,True,2026-03-12T15:34:35+00:00
Saint-Fiacre - Poissonière,2022,35,7,12,19,14,48.870828911558,2.3459213599563,75056,Paris,True,True,True,2026-03-12T15:36:17+00:00
Porte de Saint-Ouen - Bessières,17044,42,2,4,6,35,48.89792240854517,2.32851451022192,75056,Paris,True,True,True,2026-03-12T15:33:48+00:00
Moulin de Pierre - Abbé Grégoire,21326,20,1,4,5,14,48.822036188382,2.2754641655975,92040,Issy-les-Moulineaux,True,True,True,2026-03-12T15:37:21+00:00
Lagny - Victor Basch,43002,26,12,1,13,11,48.84884147189881,2.426325418925233,94080,Vincennes,True,True,True,2026-03-12T15:35:43+00:00
Général Martial Valin - Pont du Garigliano,15068,16,2,1,3,12,48.83823094269141,2.270506024360657,75056,Paris,True,True,True,2026-03-12T15:37:20+00:00
Théâtre des Amandiers - Palais des sports,92002,23,3,14,17,5,48.892648526839,2.2136941552162,92050,Nanterre,True,True,True,2026-03-12T15:31:41+00:00
De Toqueville - Terrasse,17048,30,1,2,3,27,48.882428,2.314002,75056,Paris,True,True,True,2026-03-12T15:38:01+00:00
Jules Guesde - Pont du Port à l'Anglais,44017,30,9,2,11,18,48.79628807093802,2.417212128639221,94081,Vitry-sur-Seine,True,True,True,2026-03-12T15:34:49+00:00
8 Mai 1945 - 10 Juillet 1940,44010,30,10,0,10,18,48.784567029674,2.3979035764933,94081,Vitry-sur-Seine,True,True,True,2026-03-12T15:31:31+00:00
Regnault - Patay,13118,63,41,10,51,10,48.82435782216384,2.377065159380436,75056,Paris,True,True,True,2026-03-12T15:37:51+00:00
Vigée-Lebrun - Anselme Payen,15112,24,0,2,2,22,48.838683941628375,2.3110422492027287,75056,Paris,True,True,True,2026-03-12T15:32:46+00:00
Italie - Tolbiac,13030,21,0,4,4,17,48.82557229464416,2.3576171323657036,75056,Paris,True,True,True,2026-03-12T15:37:14+00:00
Sarrazins - Saussure,40016,22,1,7,8,14,48.769626617432,2.4717841148376,94028,Créteil,True,True,True,2026-03-12T15:35:00+00:00
Félix Ziem - Armand Gauthier,18111,25,1,4,5,20,48.88949630486821,2.333393658804396,75056,Paris,True,True,True,2026-03-12T15:38:10+00:00
Youri Gagarine - Karl Marx,48003,22,1,1,2,20,48.78448485079149,2.35908430069685,94076,Villejuif,True,True,True,2026-03-12T15:37:42+00:00
Octave Feuillet - Albéric Magnard,16110,21,2,2,4,17,48.86106902949534,2.2730283066630363,75056,Paris,True,True,True,2026-03-12T15:35:39+00:00
Rouget de L'isle - Watteau,44015,20,3,3,6,14,48.778192750803,2.3963020229163,94081,Vitry-sur-Seine,True,True,True,2026-03-12T15:37:02+00:00
Place Jean-Spire-Lemaître,43009,50,11,2,13,36,48.8468428626593,2.452062070369721,94080,Vincennes,True,True,True,2026-03-12T15:35:39+00:00
Jean Oestreicher - Porte de Champerret,17032,21,0,3,3,17,48.88655580065981,2.288640439510346,75056,Paris,True,True,True,2026-03-12T15:38:13+00:00
Square Louis XVI,8016,29,5,7,12,17,48.87320440102894,2.323658830743138,75056,Paris,True,True,True,2026-03-12T15:36:36+00:00
Granges aux Belles,10115,27,1,0,1,24,48.8761373390584,2.3680844979417,75056,Paris,True,True,True,2026-03-12T15:38:04+00:00
Dunkerque - Rocroy,10029,24,0,2,2,22,48.880726,2.351464,75056,Paris,True,True,True,2026-03-12T15:34:27+00:00
Gare de Nogent-le-Perreux,41303,32,11,4,15,17,48.83842553348809,2.493693307042122,94052,Nogent-sur-Marne,True,True,True,2026-03-12T15:30:47+00:00
Gabriel Lamé,12031,36,29,4,33,1,48.8351212784276,2.385534569621086,75056,Paris,True,True,True,2026-03-12T15:37:18+00:00
Gare d'Austerlitz - Quai Saint-Bernard,13104,27,21,3,24,2,48.84369030864,2.3657163977623,75056,Paris,True,True,True,2026-03-12T15:37:44+00:00
Gare Saint-Lazare - Isly,8009,27,4,2,6,21,48.874777677621296,2.326515804784655,75056,Paris,True,True,True,2026-03-12T15:37:24+00:00
Porte Pouchet-Bessières,17008,23,5,3,8,15,48.8978765,2.3230632,75056,Paris,True,True,True,2026-03-12T15:38:11+00:00
Ségur - d'Estrées,7018,19,9,1,10,8,48.851419978983,2.3097044974566,75056,Paris,True,True,True,2026-03-12T15:32:08+00:00
Jean Jaurès - Bouret,19207,32,2,5,7,25,48.883144703938,2.3712364995651,75056,Paris,True,True,True,2026-03-12T15:37:40+00:00
